Model,Accuracy,Precision,Recall,ROC_AUC,Training_Time
Logistic Regression,0.6902752711249858,0.1627071558578408,0.6841893252769385,0.7500937956975492,10.882076501846313
Random Forest,0.7253142123148464,0.16669460743224365,0.6008056394763344,0.7334862307046777,11.28041958808899
Gradient Boosting,0.9196787148594378,0.616822429906542,0.013293051359516616,0.7577271488697797,340.1371374130249
XGBoost,0.7192657268751118,0.17490353612770232,0.6664652567975831,0.7638456424801334,5.071008682250977
